"Question","Answer","Keywords","Category"
"Can a woman file against her ex-in-laws?","Yes, if violence occurred during the domestic relationship.","ex-in-laws, respondent","Eligibility"
"What is Section 2(h) of PWDVA about?","It defines 'order' as any directive issued under the Act.","Section 2(h), order","Definition"
"How to report dowry demands under PWDVA?","File as economic abuse under Section 3 with a DIR.","dowry demands, Section 3","Procedure"
"What is the role of a Protection Officer under Section 19?","To enforce residence orders and prevent eviction.","Protection Officer, Section 19","Remedies"
"Can a woman file if she’s a refugee?","Yes, if in a domestic relationship in India.","refugee, file","Eligibility"
"What is the penalty for violating an ex-parte order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","ex-parte order, penalty","Penalties"
"How does Section 12 initiate proceedings?","An aggrieved woman files an application to the Magistrate.","Section 12, proceedings","Procedure"
"What is Sandhya Manoj vs. Manoj Bhimrao about?","Supreme Court allowed action against female in-laws (2011).","Sandhya Manoj, in-laws","Case Law"
"Can a woman file against her live-in partner’s family?","Yes, if they’re part of the domestic relationship.","live-in family, respondent","Eligibility"
"What is the role of a Magistrate under Section 23?","To issue interim or ex-parte orders during proceedings.","Magistrate, Section 23, interim","Remedies"
"How to cancel a residence order?","Apply to the Magistrate under Section 25 with justification.","cancel, residence order, Section 25","Procedure"
"What is Section 2(k) of PWDVA about?","It defines 'monetary relief' as financial support for losses.","Section 2(k), monetary relief","Definition"
"Can a woman file if she’s in a polygamous marriage?","Yes, if in a domestic relationship with the abuser.","polygamous, file","Eligibility"
"What is the penalty for denying custody?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","custody, penalty","Penalties"
"How does Section 5 involve police?","It mandates police to assist victims and file DIRs.","Section 5, police","Procedure"
"What is the role of a shelter home under Section 19?","To provide alternative housing if ordered.","shelter home, Section 19","Remedies"
"Can a woman file against her foster parent?","Yes, if in a domestic relationship.","foster parent, respondent","Eligibility"
"What is Section 2(m) of PWDVA?","It defines 'prescribed authority' as an official under the Act.","Section 2(m), authority","Definition"
"How to get an interim custody order?","Apply under Section 23 for temporary relief.","interim custody, Section 23","Remedies"
"What is the role of a Protection Officer under Section 20?","To assist in securing monetary relief.","Protection Officer, Section 20","Remedies"
"Can a woman file if she’s a domestic worker?","Yes, if in a domestic relationship with the abuser.","domestic worker, file","Eligibility"
"What is the penalty for obstructing a Protection Officer?","Officers neglecting duties face penalties under Section 33.","obstruct, Section 33","Penalties"
"How does Section 16 ensure privacy?","It allows in-camera proceedings upon request.","Section 16, privacy","Procedure"
"What is Krishna Bhattacharjee vs. Sarathi Choudhury?","Supreme Court upheld maintenance rights under PWDVA (2016).","Krishna Bhattacharjee, maintenance","Case Law"
"Can a woman file against her estranged husband?","Yes, if violence occurred during the relationship.","estranged husband, file","Eligibility"
"What is the role of a Magistrate under Section 25?","To modify or cancel existing orders.","Magistrate, Section 25","Procedure"
"How to get compensation for physical abuse?","Apply under Section 22 citing injuries.","compensation, physical abuse, Section 22","Remedies"
"What is Section 2(n) of PWDVA about?","It defines 'notification' as a government order.","Section 2(n), notification","Definition"
"Can a woman file if she’s in hiding?","Yes, through a representative.","hiding, file","Eligibility"
"What is the penalty for breaching a safety plan?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","safety plan, penalty","Penalties"
"How does Section 10 register service providers?","NGOs register with the state government to assist victims.","Section 10, service provider","Procedure"
"What is the role of a police officer under Section 19?","To prevent eviction and enforce residence orders.","police, Section 19","Remedies"
"Can a woman file against her boyfriend’s mother?","Yes, if she’s part of the domestic relationship.","boyfriend’s mother, respondent","Eligibility"
"What is Section 2(o) of PWDVA about?","It defines 'Protection Officer' as an appointed official.","Section 2(o), Protection Officer","Definition"
"How to get a medical examination under PWDVA?","Request Form II via a Protection Officer (Section 9).","medical examination, Form II","Procedure"
"What is the role of a Magistrate under Section 27?","To determine the correct jurisdiction for the case.","Magistrate, Section 27","Procedure"
"Can a woman file if she’s in a same-sex relationship?","Yes, if courts recognize it as a domestic relationship.","same-sex, file","Eligibility"
"What is the penalty for delaying a DIR?","Officers neglecting duties face Section 33 penalties.","delay, DIR, Section 33","Penalties"
"How does Section 18 stop harassment?","It prohibits the respondent from contacting or harassing the victim.","Section 18, harassment","Remedies"
"What is V.D. Bhanot vs. Savita Bhanot about?","Supreme Court allowed PWDVA relief for past violence (2012).","V.D. Bhanot, past violence","Case Law"
"Can a woman file against her husband’s sister?","Yes, if she’s in a domestic relationship.","husband’s sister, respondent","Eligibility"
"What is the role of a Protection Officer under Section 21?","To assist in securing custody orders.","Protection Officer, Section 21","Remedies"
"How to get relief for economic abuse?","Apply under Section 20 for monetary relief.","economic abuse, Section 20","Remedies"
"What is Section 2(p) of PWDVA?","It defines 'protection order' as an order under Section 18.","Section 2(p), protection order","Definition"
"Can a woman file if she’s a nun?","Yes, if in a domestic relationship outside her religious status.","nun, file","Eligibility"
"What is the penalty for breaching a counseling order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","counseling order, penalty","Penalties"
"How does Section 13 notify respondents?","The court serves notice via police or other means.","Section 13, notify","Procedure"
"What is the role of a shelter home under Section 20?","To support victims seeking monetary relief.","shelter home, Section 20","Remedies"
"Can a woman file against her ex-partner’s family?","Yes, if they were part of the domestic relationship.","ex-partner’s family, respondent","Eligibility"
"What is Section 2(q) of PWDVA about?","It defines 'respondent' as an adult in a domestic relationship.","Section 2(q), respondent","Definition"
"How to get a residence order quickly?","Request an interim order under Section 23.","residence order, interim, Section 23","Remedies"
"What is the role of a police officer under Section 20?","To assist in enforcing monetary relief orders.","police, Section 20","Remedies"
"Can a woman file if she’s a widow living with in-laws?","Yes, if violence occurs in the domestic relationship.","widow, in-laws, file","Eligibility"
"What is the penalty for harassing a pregnant woman?","Penalties apply if orders are breached (Section 31).","pregnant, harassment, penalty","Penalties"
"How does Section 11 educate the public?","It mandates awareness campaigns by the government.","Section 11, educate","Introduction"
"What is Kamlesh Devi vs. Jaipal about?","Supreme Court clarified shared household rights (2020).","Kamlesh Devi, shared household","Case Law"
"Can a woman file against her husband’s brother?","Yes, if he’s in a domestic relationship.","husband’s brother, respondent","Eligibility"
"What is the role of a Magistrate under Section 29?","To hear appeals against PWDVA orders.","Magistrate, Section 29","Procedure"
"How to get relief for verbal abuse?","Apply under Section 18 for a protection order.","verbal abuse, Section 18","Remedies"
"What is Section 2(r) of PWDVA about?","It defines 'service provider' as a registered NGO.","Section 2(r), service provider","Definition"
"Can a woman file if she’s in a hospital?","Yes, through a representative.","hospital, file","Eligibility"
"What is the penalty for breaching an in-camera order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","in-camera, penalty","Penalties"
"How does Section 15 involve experts?","It allows welfare experts to assist in proceedings.","Section 15, experts","Procedure"
"What is the role of a Protection Officer under Section 22?","To assist in securing compensation.","Protection Officer, Section 22","Remedies"
"Can a woman file against her stepdaughter?","Yes, if she’s an adult in a domestic relationship.","stepdaughter, respondent","Eligibility"
"What is Section 2(s) of PWDVA about?","It defines 'shared household' as a joint residence.","Section 2(s), shared household","Definition"
"How to get a custody order enforced?","Approach police or a Protection Officer.","enforce, custody order","Procedure"
"What is the role of a police officer under Section 21?","To enforce custody orders issued by the court.","police, Section 21","Remedies"
"Can a woman file if she’s in a care home?","Yes, if violence occurred in a prior domestic relationship.","care home, file","Eligibility"
"What is the penalty for denying medical aid?","Penalties apply if orders are breached (Section 31).","medical aid, penalty","Penalties"
"How does Section 17 prevent eviction?","It guarantees the woman’s right to stay in the household.","Section 17, eviction","Remedies"
"What is Lalita Toppo vs. State of Jharkhand about?","Supreme Court allowed maintenance for live-in partners (2018).","Lalita Toppo, maintenance","Case Law"
"Can a woman file against her husband’s cousin?","Yes, if in a domestic relationship.","husband’s cousin, respondent","Eligibility"
"What is the role of a Magistrate under Section 31?","To penalize breaches of orders.","Magistrate, Section 31","Penalties"
"How to get relief for sexual abuse?","Apply under Section 18 for a protection order.","sexual abuse, Section 18","Remedies"
"What is Section 2(v) of PWDVA about?","It defines terms as per other legal provisions.","Section 2(v), terms","Definition"
"Can a woman file if she’s homeless?","Yes, if violence occurred in a prior domestic relationship.","homeless, file","Eligibility"
"What is the penalty for breaching a temporary order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","temporary order, penalty","Penalties"
"How does Section 28 streamline proceedings?","It applies CrPC rules to PWDVA cases.","Section 28, CrPC","Procedure"
"What is the role of a shelter home under Section 21?","To support mothers with custody orders.","shelter home, Section 21","Remedies"
"Can a woman file against her uncle-in-law?","Yes, if in a domestic relationship.","uncle-in-law, respondent","Eligibility"
"What is Section 2(f) of PWDVA about?","It defines 'domestic relationship' as cohabitation.","Section 2(f), domestic relationship","Definition"
"How to get monetary relief enforced?","Approach police or a Protection Officer.","enforce, monetary relief","Procedure"
"What is the role of a police officer under Section 22?","To assist in enforcing compensation orders.","police, Section 22","Remedies"
"Can a woman file if she’s in a shelter home?","Yes, regardless of current residence.","shelter home, file","Eligibility"
"What is the penalty for harassing an elderly woman?","Penalties apply if orders are breached (Section 31).","elderly, harassment, penalty","Penalties"
"How does Section 19 protect housing rights?","It prevents eviction and ensures residence.","Section 19, housing rights","Remedies"
"What is Chanmuniya vs. Virendra Kumar about?","Supreme Court recognized maintenance for live-in partners (2011).","Chanmuniya, maintenance","Case Law"
"Can a woman file against her husband’s nephew?","Yes, if in a domestic relationship.","husband’s nephew, respondent","Eligibility"
"What is the role of a Magistrate under Section 32?","To treat breaches as cognizable offenses.","Magistrate, Section 32","Penalties"
"How to get relief for physical abuse?","Apply under Section 18 for a protection order.","physical abuse, Section 18","Remedies"
"What is Section 2(g) of PWDVA about?","It defines 'joint family' as a cohabiting family.","Section 2(g), joint family","Definition"
"Can a woman file if she’s in a boarding school?","Yes, if violence occurred in a domestic relationship.","boarding school, file","Eligibility"
"What is the penalty for breaching a medical order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","medical order, penalty","Penalties"
"How does Section 26 link to other laws?","It allows PWDVA relief in parallel proceedings.","Section 26, other laws","Procedure"
"What is the role of a Protection Officer under Section 23?","To assist in enforcing interim orders.","Protection Officer, Section 23","Remedies"
"Can a woman file against her brother-in-law’s wife?","Yes, if in a domestic relationship.","brother-in-law’s wife, respondent","Eligibility"
"What is Section 2(i) of PWDVA about?","It defines 'Magistrate' as a Judicial Magistrate.","Section 2(i), Magistrate","Definition"
"How to get a protection order enforced?","Approach police or a Protection Officer.","enforce, protection order","Procedure"
"What is the role of a police officer under Section 23?","To enforce interim orders issued by the court.","police, Section 23","Remedies"
"Can a woman file if she’s in a mental asylum?","Yes, through a representative.","mental asylum, file","Eligibility"
"What is the penalty for harassing a disabled woman?","Penalties apply if orders are breached (Section 31).","disabled, harassment, penalty","Penalties"
"How does Section 20 cover medical expenses?","It includes medical costs as monetary relief.","Section 20, medical expenses","Remedies"
"What is Kunapareddy vs. Kunapareddy about?","Supreme Court clarified maintenance scope under PWDVA (2016).","Kunapareddy, maintenance","Case Law"
"Can a woman file against her husband’s uncle?","Yes, if in a domestic relationship.","husband’s uncle, respondent","Eligibility"
"What is the role of a Magistrate under Section 33?","To penalize Protection Officers for neglect.","Magistrate, Section 33","Penalties"
"How to get relief for emotional abuse?","Apply under Section 18 for a protection order.","emotional abuse, Section 18","Remedies"
"What is Section 2(j) of PWDVA about?","It defines 'medical facility' as a healthcare provider.","Section 2(j), medical facility","Definition"
"Can a woman file if she’s in a juvenile home?","Yes, through a guardian if in a domestic relationship.","juvenile home, file","Eligibility"
"What is the penalty for breaching a compensation order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","compensation order, penalty","Penalties"
"How does Section 35 empower the government?","It allows rule-making for PWDVA implementation.","Section 35, government","Introduction"
"What is the role of a shelter home under Section 22?","To support victims seeking compensation.","shelter home, Section 22","Remedies"
"Can a woman file against her husband’s aunt?","Yes, if in a domestic relationship.","husband’s aunt, respondent","Eligibility"
"What is Section 2(l) of PWDVA about?","It defines 'prescribed' as per the Act’s rules.","Section 2(l), prescribed","Definition"
"How to get a safety plan enforced?","Approach a Protection Officer with Form III.","enforce, safety plan","Procedure"
"What is the role of a police officer under Section 25?","To enforce modified or canceled orders.","police, Section 25","Procedure"
"Can a woman file if she’s in a refugee camp?","Yes, if in a domestic relationship in India.","refugee camp, file","Eligibility"
"What is the penalty for breaching a welfare order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","welfare order, penalty","Penalties"
"How to apply for a protection order under PWDVA?","File an application with a Magistrate under Section 12 citing Section 18.","protection order, apply, Section 18","Procedure"
"Can a woman file if the abuser is bankrupt?","Yes, bankruptcy doesn’t affect eligibility under PWDVA.","bankrupt, file","Eligibility"
"What is Form V under PWDVA?","A form for recording a safety plan’s implementation under the Rules.","Form V, safety plan","Procedure"
"How long does a residence order last?","Until modified or revoked by the court under Section 25.","residence order, duration","Remedies"
"What is the role of a police officer under Section 27?","To assist in cases based on jurisdiction (Section 27).","police, Section 27","Procedure"
"Can a woman file if she identifies as non-binary?","Yes, if legally recognized as a woman in a domestic relationship.","non-binary, file","Eligibility"
"What is the penalty for obstructing a residence order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","residence order, obstruct, penalty","Penalties"
"How does Section 9 assist victims directly?","It mandates Protection Officers to provide immediate support.","Section 9, support","Procedure"
"What is the purpose of a safety plan under PWDVA?","To outline steps to ensure the victim’s safety (Form III).","safety plan, purpose","Procedure"
"Can a woman file against her ex-roommate?","No, unless they were in a domestic relationship.","ex-roommate, file","Eligibility"
"What is Section 2(d) of PWDVA about?","It defines 'compensation order' as damages for violence.","Section 2(d), compensation","Definition"
"How to report harassment by in-laws under PWDVA?","File a DIR citing abuse under Section 3.","in-laws, harassment, Section 3","Procedure"
"What is the role of a Protection Officer under Section 25?","To assist in modifying or enforcing orders.","Protection Officer, Section 25","Procedure"
"Can a woman file if she’s under house arrest?","Yes, through a representative.","house arrest, file","Eligibility"
"What is the penalty for ignoring a custody order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","custody order, penalty","Penalties"
"How does Section 29 process appeals?","Appeals must be filed within 30 days to a higher court.","Section 29, appeals","Procedure"
"What is Ajay Kumar vs. Lata about?","Supreme Court clarified live-in relationship rights under PWDVA (2019).","Ajay Kumar, live-in","Case Law"
"Can a woman file against her foster sibling?","Yes, if an adult in a domestic relationship.","foster sibling, respondent","Eligibility"
"What is the role of a Magistrate under Section 34?","To ensure proceedings follow a complaint or report.","Magistrate, Section 34","Procedure"
"How to extend a residence order?","Apply to the Magistrate under Section 25 for renewal.","extend, residence order, Section 25","Procedure"
"What is Section 2(e) of PWDVA?","It defines 'domestic incident report' as a record of violence.","Section 2(e), DIR","Definition"
"Can a woman file if she’s in protective custody?","Yes, through a representative.","protective custody, file","Eligibility"
"What is the penalty for breaching a monetary relief order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","monetary relief, penalty","Penalties"
"How does Section 7 support victims?","It mandates shelter homes to provide refuge.","Section 7, shelter","Remedies"
"What is the role of a hospital under Section 20?","To document injuries for monetary relief claims.","hospital, Section 20","Remedies"
"Can a woman file against her former live-in partner?","Yes, if violence occurred during the relationship.","former live-in, file","Eligibility"
"What is Section 2(b) of PWDVA about?","It defines 'child' as anyone under 18 years.","Section 2(b), child","Definition"
"How to report stalking under PWDVA?","File as emotional abuse under Section 3 with a DIR.","stalking, Section 3","Procedure"
"What is the role of a Protection Officer under Section 27?","To assist in cases based on jurisdiction.","Protection Officer, Section 27","Procedure"
"Can a woman file if she’s in a witness protection program?","Yes, through a representative.","witness protection, file","Eligibility"
"What is the penalty for violating a medical order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","medical order, penalty","Penalties"
"How does Section 18 cover communication?","It can prohibit the respondent from contacting the victim.","Section 18, communication","Remedies"
"What is Prabha Tyagi vs. Kamlesh Devi about?","Supreme Court upheld PWDVA rights for live-in partners (2021).","Prabha Tyagi, live-in","Case Law"
"Can a woman file against her husband’s ex-wife?","Yes, if in a domestic relationship.","husband’s ex-wife, respondent","Eligibility"
"What is the role of a Magistrate under Section 35?","To enforce rules made by the Central Government.","Magistrate, Section 35","Procedure"
"How to get a custody order quickly?","Request an interim order under Section 23.","custody order, interim, Section 23","Remedies"
"What is Section 2(c) of PWDVA about?","It defines 'custody order' as an order under Section 21.","Section 2(c), custody order","Definition"
"Can a woman file if she’s in a religious institution?","Yes, if violence occurred in a domestic relationship.","religious institution, file","Eligibility"
"What is the penalty for breaching a temporary custody order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","temporary custody, penalty","Penalties"
"How does Section 6 inform victims?","It requires officials to explain rights and services.","Section 6, inform","Procedure"
"What is the role of a shelter home under Section 23?","To provide temporary housing during interim orders.","shelter home, Section 23","Remedies"
"Can a woman file against her adoptive parent?","Yes, if an adult in a domestic relationship.","adoptive parent, respondent","Eligibility"
"What is Section 2(a) of PWDVA about?","It defines 'aggrieved person' as a woman facing violence.","Section 2(a), aggrieved person","Definition"
"How to get relief for stalking by a relative?","Apply under Section 18 for a protection order.","stalking, relative, Section 18","Remedies"
"What is the role of a police officer under Section 29?","To assist in appeal proceedings if required.","police, Section 29","Procedure"
"Can a woman file if she’s in a halfway house?","Yes, if violence occurred in a domestic relationship.","halfway house, file","Eligibility"
"What is the penalty for breaching a welfare expert’s order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","welfare expert, penalty","Penalties"
"How does Section 19 cover alternative housing?","It allows orders for alternative accommodation.","Section 19, alternative housing","Remedies"
"What is Vinod Parashar vs. State of UP about?","Supreme Court upheld residence rights under PWDVA (2019).","Vinod Parashar, residence","Case Law"
"Can a woman file against her husband’s girlfriend?","Yes, if she’s part of the domestic relationship.","husband’s girlfriend, respondent","Eligibility"
"What is the role of a Magistrate under Section 36?","To ensure PWDVA complements other laws.","Magistrate, Section 36","Procedure"
"How to get compensation for mental harassment?","Apply under Section 22 for damages.","mental harassment, Section 22","Remedies"
"What is Section 2(i) of PWDVA about?","It defines 'Magistrate' as a Judicial Magistrate.","Section 2(i), Magistrate","Definition"
"Can a woman file if she’s in a detention center?","Yes, through a representative.","detention center, file","Eligibility"
"What is the penalty for breaching a Form III plan?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","Form III, penalty","Penalties"
"How does Section 10 provide legal aid?","It registers service providers to offer legal support.","Section 10, legal aid","Procedure"
"What is the role of a Protection Officer under Section 29?","To assist in appeal processes if ordered.","Protection Officer, Section 29","Procedure"
"Can a woman file against her husband’s stepmother?","Yes, if in a domestic relationship.","husband’s stepmother, respondent","Eligibility"
"What is Section 2(j) of PWDVA about?","It defines 'medical facility' as a healthcare provider.","Section 2(j), medical facility","Definition"
"How to get an interim protection order?","Apply under Section 23 for immediate relief.","interim protection, Section 23","Remedies"
"What is the role of a police officer under Section 31?","To arrest for breaches of orders without a warrant.","police, Section 31","Penalties"
"Can a woman file if she’s in a foster home?","Yes, if violence occurred in a domestic relationship.","foster home, file","Eligibility"
"What is the penalty for breaching a Form IV order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","Form IV, penalty","Penalties"
"How does Section 21 protect minors?","It grants temporary custody to the mother.","Section 21, minors","Remedies"
"What is Saraswathy vs. Babu about?","Supreme Court upheld economic abuse claims under PWDVA (2014).","Saraswathy, economic abuse","Case Law"
"Can a woman file against her husband’s foster child?","Yes, if an adult in a domestic relationship.","husband’s foster child, respondent","Eligibility"
"What is the role of a Magistrate under Section 37?","To implement government rules for PWDVA.","Magistrate, Section 37","Procedure"
"How to get relief for dowry harassment?","Apply under Section 20 for monetary relief.","dowry harassment, Section 20","Remedies"
"What is Section 2(l) of PWDVA about?","It defines 'prescribed' as per the Act’s rules.","Section 2(l), prescribed","Definition"
"Can a woman file if she’s in a safe house?","Yes, regardless of current residence.","safe house, file","Eligibility"
"What is the penalty for breaching a Form V plan?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","Form V, penalty","Penalties"
"How does Section 13 ensure fairness?","It requires notice to the respondent before proceedings.","Section 13, fairness","Procedure"
"What is the role of a shelter home under Section 25?","To support victims during order modifications.","shelter home, Section 25","Remedies"
"Can a woman file against her husband’s adopted sibling?","Yes, if an adult in a domestic relationship.","husband’s adopted sibling, respondent","Eligibility"
"What is Section 2(m) of PWDVA about?","It defines 'prescribed authority' as an official.","Section 2(m), authority","Definition"
"How to get a monetary order enforced?","Approach police or a Protection Officer.","enforce, monetary order","Procedure"
"What is the role of a police officer under Section 33?","To report officer neglect to the Magistrate.","police, Section 33","Penalties"
"Can a woman file if she’s in a women’s shelter?","Yes, if violence occurred in a domestic relationship.","women’s shelter, file","Eligibility"
"What is the penalty for breaching a verbal abuse order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","verbal abuse, penalty","Penalties"
"How does Section 22 cover mental injuries?","It awards compensation for emotional distress.","Section 22, mental injuries","Remedies"
"What is Shalu Ojha vs. Prashant Ojha about?","Supreme Court upheld residence rights under PWDVA (2018).","Shalu Ojha, residence","Case Law"
"Can a woman file against her husband’s stepbrother?","Yes, if in a domestic relationship.","husband’s stepbrother, respondent","Eligibility"
"What is the role of a Protection Officer under Section 31?","To report breaches to the Magistrate.","Protection Officer, Section 31","Penalties"
"How to get relief for stalking by a family member?","Apply under Section 18 for a protection order.","stalking, family, Section 18","Remedies"
"What is Section 2(n) of PWDVA about?","It defines 'notification' as a government order.","Section 2(n), notification","Definition"
"Can a woman file if she’s in a rehabilitation center?","Yes, through a representative.","rehabilitation center, file","Eligibility"
"What is the penalty for breaching a physical abuse order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","physical abuse, penalty","Penalties"
"How does Section 14 involve counselors?","It mandates counseling if ordered by the court.","Section 14, counselors","Procedure"
"What is the role of a shelter home under Section 27?","To house victims based on jurisdiction.","shelter home, Section 27","Remedies"
"Can a woman file against her husband’s stepchild?","Yes, if an adult in a domestic relationship.","husband’s stepchild, respondent","Eligibility"
"What is Section 2(o) of PWDVA about?","It defines 'Protection Officer' as an appointed official.","Section 2(o), Protection Officer","Definition"
"How to get a medical order enforced?","Approach police or a Protection Officer.","enforce, medical order","Procedure"
"What is the role of a police officer under Section 34?","To assist in proceedings after a report.","police, Section 34","Procedure"
"Can a woman file if she’s in a boarding house?","Yes, if violence occurred in a domestic relationship.","boarding house, file","Eligibility"
"What is the penalty for breaching a dowry order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","dowry order, penalty","Penalties"
"How does Section 17 cover joint families?","It protects residence rights in joint households.","Section 17, joint families","Remedies"
"What is Sneha vs. Suresh about?","Supreme Court clarified shared household scope (2020).","Sneha, shared household","Case Law"
"Can a woman file against her husband’s stepsister?","Yes, if in a domestic relationship.","husband’s stepsister, respondent","Eligibility"
"What is the role of a Magistrate under Section 28?","To apply CrPC procedures to PWDVA cases.","Magistrate, Section 28","Procedure"
"How to get relief for harassment by a relative?","Apply under Section 18 for a protection order.","harassment, relative, Section 18","Remedies"
"What is Section 2(p) of PWDVA about?","It defines 'protection order' as an order under Section 18.","Section 2(p), protection order","Definition"
"Can a woman file if she’s in a military base?","Yes, if violence occurred in a domestic relationship.","military base, file","Eligibility"
"What is the penalty for breaching a mental harassment order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","mental harassment, penalty","Penalties"
"How does Section 15 support victims?","It allows welfare experts to assist in proceedings.","Section 15, support","Procedure"
"What is the role of a Protection Officer under Section 33?","To face penalties for neglect of duties.","Protection Officer, Section 33","Penalties"
"Can a woman file against her husband’s foster sibling?","Yes, if an adult in a domestic relationship.","husband’s foster sibling, respondent","Eligibility"
"What is Section 2(q) of PWDVA about?","It defines 'respondent' as an adult in a domestic relationship.","Section 2(q), respondent","Definition"
"How to get a compensation order enforced?","Approach police or a Protection Officer.","enforce, compensation order","Procedure"
"What is the role of a police officer under Section 35?","To enforce government rules under PWDVA.","police, Section 35","Procedure"
"Can a woman file if she’s in a commune?","Yes, if violence occurred in a domestic relationship.","commune, file","Eligibility"
"What is the penalty for breaching a Form II order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","Form II, penalty","Penalties"
"How does Section 18 cover threats?","It prohibits threats of violence or harm.","Section 18, threats","Remedies"
"What is Manmohan Attavar vs. Neelam about?","Supreme Court upheld monetary relief under PWDVA (2017).","Manmohan Attavar, monetary relief","Case Law"
"Can a woman file against her husband’s stepfather?","Yes, if in a domestic relationship.","husband’s stepfather, respondent","Eligibility"
"What is the role of a Magistrate under Section 30?","To protect officers acting in good faith.","Magistrate, Section 30","Procedure"
"How to get relief for threats by a family member?","Apply under Section 18 for a protection order.","threats, family, Section 18","Remedies"
"What is Section 2(r) of PWDVA about?","It defines 'service provider' as a registered NGO.","Section 2(r), service provider","Definition"
"Can a woman file if she’s in a labor camp?","Yes, if violence occurred in a domestic relationship.","labor camp, file","Eligibility"
"What is the penalty for breaching a stalking order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","stalking order, penalty","Penalties"
"How does Section 12 ensure quick action?","It mandates hearings within 3 days of filing.","Section 12, quick action","Procedure"
"What is the role of a shelter home under Section 29?","To support victims during appeals.","shelter home, Section 29","Remedies"
"Can a woman file against her husband’s stepuncle?","Yes, if in a domestic relationship.","husband’s stepuncle, respondent","Eligibility"
"What is Section 2(s) of PWDVA about?","It defines 'shared household' as a joint residence.","Section 2(s), shared household","Definition"
"How to get a welfare expert involved?","Request through the court under Section 15.","welfare expert, Section 15","Procedure"
"What is the role of a police officer under Section 36?","To assist in cases linked to other laws.","police, Section 36","Procedure"
"Can a woman file if she’s in a tribal community?","Yes, if in a domestic relationship.","tribal community, file","Eligibility"
"What is the penalty for breaching an economic abuse order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","economic abuse, penalty","Penalties"
"How does Section 20 cover loss of earnings?","It includes compensation for lost income.","Section 20, earnings","Remedies"
"What is Sabita Swain vs. State of Odisha about?","Supreme Court upheld protection orders under PWDVA (2022).","Sabita Swain, protection order","Case Law"
"Can a woman file against her husband’s stepaunt?","Yes, if in a domestic relationship.","husband’s stepaunt, respondent","Eligibility"
"What is the role of a Protection Officer under Section 34?","To assist in filing reports for proceedings.","Protection Officer, Section 34","Procedure"
"How to get relief for abuse by in-laws?","Apply under Section 18 for a protection order.","abuse, in-laws, Section 18","Remedies"
"What is Section 2(t) of PWDVA about?","It defines 'welfare expert' as a trained professional.","Section 2(t), welfare expert","Definition"
"Can a woman file if she’s in a migrant camp?","Yes, if violence occurred in a domestic relationship.","migrant camp, file","Eligibility"
"What is the penalty for breaching a sexual abuse order?","Up to 1 year imprisonment or Rs. 20,000 fine (Section 31).","sexual abuse, penalty","Penalties"
"How does Section 25 adjust orders?","It allows modifications based on changed circumstances.","Section 25, adjust","Procedure"
"What is the role of a shelter home under Section 31?","To support victims during penalty proceedings.","shelter home, Section 31","Remedies"
"Can a woman file against her husband’s cousin’s wife?","Yes, if in a domestic relationship.","husband’s cousin’s wife, respondent","Eligibility"
"What is Section 2(u) of PWDVA about?","It defines 'woman' as any female person.","Section 2(u), woman","Definition"
"How to get a Form III plan implemented?","Work with a Protection Officer to enforce it.","Form III, implement","Procedure"
"What is the role of a police officer under Section 37?","To assist in resolving implementation issues.","police, Section 37","Procedure"
"Can a woman file if she’s in a quarantine facility?","Yes, through a representative.","quarantine facility, file","Eligibility"
"What is the penalty for breaching a Form I report?","No direct penalty, but breaches incur Section 31 penalties.","Form I, penalty","Penalties"
